Indikator,Ausprägung,Jahr,Räumliche Gliederung,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Baugenehmigungen,Wohnfläche,2015,16 Ramersdorf - Perlach,68,76534,1125,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,17 Obergiesing - Fasangarten,53,15968,301,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,18 Untergiesing - Harlaching,108.6,9448,87,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,92.3,30923,335,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,20 Hadern,97.9,8614,88,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,21 Pasing - Obermenzing,88.6,34725,392,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,22 Aubing - Lochhausen - Langwied,74.8,32080,429,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,23 Allach - Untermenzing,91.6,14565,159,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,24 Feldmoching - Hasenbergl,75.8,15985,211,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2015,25 Laim,77.7,11338,146,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
